country,date,accumulated_recovered,increase_of_recovered
Afghanistan,2020-03-01,0,0
Afghanistan,2020-03-13,0,0
Afghanistan,2020-03-21,1,1
Afghanistan,2020-03-08,0,-1
Afghanistan,2020-03-26,2,2
Afghanistan,2020-03-03,0,-2
Afghanistan,2020-03-04,0,0
Afghanistan,2020-03-09,0,0
Afghanistan,2020-03-20,1,1
Afghanistan,2020-03-14,0,-1
Afghanistan,2020-03-16,1,1
Afghanistan,2020-03-15,0,-1
Afghanistan,2020-03-10,0,0
Afghanistan,2020-03-24,1,1
Afghanistan,2020-03-05,0,-1
Afghanistan,2020-03-02,0,0
Afghanistan,2020-03-27,2,2
Afghanistan,2020-03-07,0,-2
Afghanistan,2020-03-22,1,1
Afghanistan,2020-03-12,0,-1
Afghanistan,2020-03-17,1,1
Afghanistan,2020-03-19,1,0
Afghanistan,2020-03-18,1,0
Afghanistan,2020-03-25,2,1
Afghanistan,2020-03-06,0,-2
Afghanistan,2020-03-23,1,1
Afghanistan,2020-03-11,0,-1
Albania,2020-03-18,0,0
Albania,2020-03-08,0,0
Albania,2020-03-14,0,0
Albania,2020-03-27,31,31
Albania,2020-03-03,0,-31
Albania,2020-03-02,0,0
Albania,2020-03-05,0,0
Albania,2020-03-09,0,0
Albania,2020-03-06,0,0
Albania,2020-03-04,0,0
Albania,2020-03-24,10,10
Albania,2020-03-19,0,-10
Albania,2020-03-20,0,0
Albania,2020-03-25,17,17
Albania,2020-03-07,0,-17
Albania,2020-03-21,2,2
Albania,2020-03-26,17,15
Albania,2020-03-11,0,-17
Albania,2020-03-15,0,0
Albania,2020-03-17,0,0
Albania,2020-03-01,0,0
Albania,2020-03-12,0,0
Albania,2020-03-16,0,0
Albania,2020-03-13,0,0
Albania,2020-03-23,2,2
Albania,2020-03-10,0,-2
Albania,2020-03-22,2,2
Algeria,2020-03-27,29,0
Algeria,2020-03-20,32,3
Algeria,2020-03-18,12,-20
Algeria,2020-03-07,0,-12
Algeria,2020-03-25,65,65
Algeria,2020-03-17,12,-53
Algeria,2020-03-02,0,-12
Algeria,2020-03-08,0,0
Algeria,2020-03-24,24,24
Algeria,2020-03-01,0,-24
Algeria,2020-03-22,65,65
Algeria,2020-03-04,0,-65
Algeria,2020-03-16,12,12
Algeria,2020-03-06,0,-12
Algeria,2020-03-12,8,8
Algeria,2020-03-09,0,-8
Algeria,2020-03-21,32,32
Algeria,2020-03-05,0,-32
Algeria,2020-03-19,32,32
Algeria,2020-03-11,0,-32
Algeria,2020-03-15,12,12
Algeria,2020-03-14,12,0
Algeria,2020-03-03,0,-12
Algeria,2020-03-13,8,8
Algeria,2020-03-26,29,21
Algeria,2020-03-10,0,-29
Algeria,2020-03-23,65,65
Andorra,2020-03-06,0,0
Andorra,2020-03-02,0,0
Andorra,2020-03-24,1,1
Andorra,2020-03-05,0,-1
Andorra,2020-03-12,1,1
Andorra,2020-03-27,1,0
Andorra,2020-03-07,0,-1
Andorra,2020-03-01,0,0
Andorra,2020-03-22,1,1
Andorra,2020-03-17,1,0
Andorra,2020-03-10,0,-1
Andorra,2020-03-19,1,1
Andorra,2020-03-14,1,0
Andorra,2020-03-15,1,0
Andorra,2020-03-11,0,-1
Andorra,2020-03-08,0,0
Andorra,2020-03-13,0,0
Andorra,2020-03-03,0,0
Andorra,2020-03-09,0,0
Andorra,2020-03-16,1,1
Andorra,2020-03-23,1,0
Andorra,2020-03-25,1,0
Andorra,2020-03-04,0,-1
Andorra,2020-03-21,1,1
Andorra,2020-03-20,1,0
Andorra,2020-03-18,1,0
Andorra,2020-03-26,1,0
Angola,2020-03-14,0,0
Angola,2020-03-11,0,0
Angola,2020-03-19,0,0
Angola,2020-03-07,0,0
Angola,2020-03-08,0,0
Angola,2020-03-21,0,0
Angola,2020-03-27,0,0
Angola,2020-03-13,0,0
Angola,2020-03-26,0,0
Angola,2020-03-06,0,0
Angola,2020-03-18,0,0
Angola,2020-03-03,0,0
Angola,2020-03-05,0,0
Angola,2020-03-22,0,0
